Source.Name;Marca temporal;Nombre del Encuestador SE1;Nombre de la empresa;1. Tamaño de la empresa:;2. Sector o industria principal de la empresa (seleccione una opción):  ;* Especificar otra industria o sector;3. ¿Qué tipo de perfiles profesionales son los más demandados por su empresa actualmente?  ;* Especificar otro perfil;4. ¿Cuántos puestos de trabajo necesitan cubrir en los próximos 12 meses?   ;5. ¿Cuáles son las principales dificultades que enfrenta para cubrir las vacantes en su empresa?  ;* Especificar otras dificultades;6. ¿Qué proporción de sus trabajadores considera que tiene suficiente formación?;7. ¿En qué medida la falta de personal cualificado cree que afecta al crecimiento de su empresa?  ;8. ¿A su empresa le interesaría realizar programas de formación o programas de inserción laboral?  
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 14:10;;Isabel María Laguna Ancio;Micro;Comercio;;Otro *;Dependiente ;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 14:51;;Miguel Ángel Rodríguez Santos;Micro;Comercio;;Otro *;Dependiente ;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 14:53;;Pinturas Busto e hijos, SL;Micro;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 14:56;;Maindsur 2005, S.L;Pequeña;Comercio;Alquiler maquinaria y herramientas construcción ;Comerciales;Conductores ;Ninguno;Falta de experiencia;;Aproximadamente la mitad;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 15:04;;Lowfit Dos Hermanas ;Pequeña;Servicios;Gimnasio ;Otro *;Entrenadores deportivos ;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 15:19;;Valme Morales García ;Micro;Servicios;;Otro *;Peluqueros ;Ninguno;Otras *;Informalidad ;La mayoría;En cierta medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;19/02/2025 15:35;;Francisco Sánchez Cazalla ;Micro;Comercio;;Otro *;Dependientes ;Ninguno;Falta de candidatos cualificados;;Una minoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 8:31;;David Caro Dormido ;Micro;Otros *;Metal;Otro *;Carpintero metálico ;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 9:35;;Al margen Esther Blanes palacios;Micro;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 10:14;;MG Stores;Micro;Comercio;;Otro *;Dependiente ;Ninguno;Competencia salarial;;Aproximadamente la mitad;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 10:18;;María Isabel Gordillo Duarte;Micro;Comercio;;Otro *;Dependiente ;Ninguno;Competencia salarial;;Una minoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 10:37;;Yolanda Pérez Gallego ;Micro;Comercio;;Otro *;Dependiente ;Ninguno;Falta de experiencia;;La mayoría;Nada;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 10:37;;;;;;;;;;;;;
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 11:07;;Fernando Franco Fernández ;Micro;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 11:34;;Mónica Gómez Delgado ;Micro;Servicios;;Otro *;Peluqueros y estéticos ;1-5;Falta de candidatos cualificados, Competencia salarial, Otras *;No quieren trabajar ;La mayoría;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 11:43;;Serrano Íñigo Servicio Dental, s.l.;Micro;Salud;;Técnicos;;Ninguno;Falta de experiencia;;Casi todos;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 11:50;;Demelza González Barbero Peluquería ;Micro;Servicios;;Otro *;Peluqueros ;Ninguno;Otras *;No quieren trabajar en sector ;La mayoría;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 12:07;;Sonia Fernández Cuadrado ;Micro;Servicios;Peluqueros ;Otro *;Peluqueros ;Ninguno;Otras *;;La mayoría;En cierta medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 12:19;;Isabel Meléndez Crujera;Micro;Hostelería;;Otro *;Camarero ;Ninguno;Otras *;No quieren trabajar en el sector;La mayoría;En cierta medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 12:39;;Magdalena Guerrero Quesada;Micro;Comercio;;Otro *;Carnicero ;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 12:45;;Iguana Custom ;Pequeña;Comercio;Automacion;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 13:02;;Electrodomésticos Alfa, SL..;Pequeña;Comercio;Electrodomésticos ;Comerciales;Mozo almacén ;Ninguno;Otras *;La cantidad de impuestos para generar un puesto de tbjo.;Casi todos;Poco;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 14:50;;María del Carmen Pedrajas Sunset;Micro;Hostelería;;Otro *;Camarero y cocinero ;Ninguno;Otras *;No quieren trabajar en el sector;Aproximadamente la mitad;Poco;No
SE15- MARÍA ISABEL GÓMEZ MARCHENA (respuestas).xlsx;20/02/2025 15:33;;Iván Serrano Martín ;Micro;Hostelería;;Otro *;Camarero y cocinero ;1-5;Otras *;No quieren trabajar en el sector ;Aproximadamente la mitad;En gran medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 10:07;;Papelería Imprenta in love;Pequeña;Comercio;Comercio;Comerciales;;1-5;Falta de candidatos cualificados;;Aproximadamente la mitad;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 10:14;;Daniel Escobar  Peluqueros;Pequeña;Comercio;;Otro *;Peluqueros;Ninguno;Otras *;;La mayoría;Poco;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 10:21;;Aire;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;La mayoría;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 10:42;;Peluquería Daniel Puerto;Pequeña;Comercio;Peluqueria;Comerciales;;Ninguno;Falta de experiencia;;Aproximadamente la mitad;Poco;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 10:59;;Cafetería Mas;Grande;Hostelería;;Comerciales;;1-5;Falta de experiencia;;La mayoría;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 11:06;;Cafetería Mas ;Grande;Hostelería;;Comerciales;;1-5;Falta de experiencia;;Casi todos;Poco;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 11:12;;Casa Barril Bar;Mediana;Hostelería;;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 11:36;;Autoescuela parque Amate;Mediana;Servicios;;Otro *;Profesores de autoescula;1-5;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 11:42;;Pansur;Micro;Comercio;;Comerciales;;Ninguno;Otras *;;Casi todos;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 11:47;;Muebles cocina Pinilla ;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Casi todos;En cierta medida;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 12:22;;Tecnocasa inmobiliaria;Grande;Comercio;Inmobiliaria;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 12:38;;Ultramarinos Mama Luisa;Mediana;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;18/02/2025 12:43;;Neumáticos Montoro;Pequeña;Servicios;Autos;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 10:47;;Hostal Alamares;Pequeña;Comercio;;Administrativos;;1-5;Falta de candidatos cualificados, Otras *;;La mayoría;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 10:57;;Aluminios Siseje;Pequeña;Comercio;;Otro *;;Ninguno;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 11:13;;TITIPHONE;Micro;Comercio;Telefonos;Comerciales;;Ninguno;Otras *;;Casi todos;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 11:22;;Aki Te Espero Bar;Pequeña;Hostelería;;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:15;;Doner Kebap;Mediana;Hostelería;;Comerciales;;1-5;Falta de experiencia;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:30;;Chucherías cerro ;Micro;Comercio;;Comerciales;;Ninguno;Otras *;;Una minoría;En gran medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:34;;Frutería Dolores;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:39;;Cafetería Loysan;Pequeña;Hostelería;;Comerciales;;Ninguno;Otras *;;Casi todos;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:45;;Electricidad el Trebol;Pequeña;Comercio;;Técnicos;;1-5;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 12:56;;Akomodate Muebles;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;19/02/2025 13:02;;Autoescuela San Carlos;Pequeña;Servicios;;Técnicos;;Ninguno;Otras *;;La mayoría;En gran medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 8:14;;Alimentación La Esquina;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 9:29;;Asador las Marismas;Pequeña;Hostelería;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;En cierta medida;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 9:40;;Marcela Gallardo Peluquerias;Pequeña;Servicios;;Otro *;;1-5;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 9:54;;Cindy Madrigal Estetica;Pequeña;Servicios;;Otro *;;Ninguno;Falta de candidatos cualificados;;Casi todos;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 9:59;;Frutas y verduras Picamuelas;Mediana;Comercio;;Comerciales;;1-5;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 10:07;;Sevillatel;Mediana;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 11:18;;Tiendesita de Melani;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;Casi todos;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 11:22;;Estanco El Trebol;Pequeña;Comercio;;Comerciales;;1-5;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 11:34;;Barbería Amate;Pequeña;Servicios;;Otro *;;Ninguno;Otras *;;La mayoría;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 11:46;;Doble Ele;Micro;Comercio;;Comerciales;;Ninguno;Otras *;;Casi todos;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 11:53;;Modas Mara;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;La mayoría;Nada;Sí
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 12:03;;Talleres mecánica Chapa y pintura JP Sevilla ;Pequeña;Servicios;;Técnicos;;1-5;Otras *;;Casi todos;Nada;No
SE17- INMACULADA VENTURA RUIZ (respuestas).xlsx;20/02/2025 12:11;;Bocatas ,Gofres Cayetana;Pequeña;Comercio;Alimentacion;Otro *;Dependienta;1-5;Otras *;;La mayoría;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:00;;Farmacia Fernando Galan;Pequeña;Salud;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:10;;Estética Avanzada BESA;Pequeña;Salud;;Otro *;Personal dedicado a la estética ;Ninguno;Falta de candidatos cualificados;;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:37;;Cafetal Morón;Pequeña;Hostelería;;Comerciales;;1-5;Falta de experiencia;;Una minoría;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:44;;Imagina Sport;Pequeña;Comercio;;Otro *;Dependientes ;1-5;Otras *;Poco motivación para trabajar;Aproximadamente la mitad;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:50;;Joyería la Joyita;Pequeña;Comercio;;Otro *;Gestores;Ninguno;Otras *;No pudo meter un empleado;La mayoría;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 10:55;;Veo veo textil;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Una minoría;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 11:07;;OVS kids;Micro;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;Una minoría;En gran medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 11:46;;Foto Gómez Teruel ;Pequeña;Tecnología;;Otro *;Depedientes;1-5;Falta de experiencia;;Una minoría;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;18/02/2025 12:55;;Taberna Tiempo;Pequeña;Hostelería;;Otro *;Camareros y cocineros;1-5;Falta de candidatos cualificados;;Aproximadamente la mitad;En gran medida;Sí
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 10:29;;Uniforme y bordados Morón;Grande;Comercio;;Otro *;Técnicos de impresión ;1-5;Otras *;;Aproximadamente la mitad;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 10:44;;Panadería La Moronera;Pequeña;Comercio;;Otro *;Dependientes;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 10:49;;Rey Joyeros;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Una minoría;En gran medida;Sí
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 10:55;;Joyería Patro Rey;Pequeña;Comercio;;Otro *;Dependientes ;Ninguno;Otras *;;Casi todos;Nada;Sí
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 11:03;;Joyería Perez;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 11:55;;Oficom System;Pequeña;Tecnología;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 12:09;;Victoria Luna & Kids;Pequeña;Comercio;;Otro *;;Ninguno;Falta de candidatos cualificados, Falta de experiencia;;Casi todos;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;19/02/2025 13:44;;Óptica Morón;Micro;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:23;;David Bocanegra Estudió fotográfico ;Pequeña;Tecnología;;Técnicos;;1-5;Falta de candidatos cualificados;;Una minoría;En gran medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:29;;Juguetería y decoración Ramos ;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:36;;Vapearte ;Pequeña;Comercio;;Otro *;;Ninguno;Otras *;;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:44;;Mascotas Morón ;Mediana;Comercio;;Comerciales;;1-5;Competencia salarial;;Aproximadamente la mitad;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:47;;Sara textil ;Pequeña;Comercio;;Comerciales;;1-5;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 10:55;;Yuste;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;Una minoría;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 11:00;;Herbolario yerbabuena;Pequeña;Salud;;Otro *;Dependiente;Ninguno;Otras *;;La mayoría;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 11:07;;Novena Luna Bebes;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;No necesita a nadie;Casi todos;Nada;No
SE19- JUAN ANTONIO ROJAS SALAS (respuestas).xlsx;20/02/2025 15:15;;Bar Restaurante La Tapiceria ;Pequeña;Hostelería;;Otro *;Camareros;1-5;Falta de experiencia;;Casi todos;En cierta medida;Sí
SE2- MARIA JULIA MENDEZ RODRÍGUEZ (respuestas).xlsx;;;;;;;;;;;;;;
SE20- LAURA BARRERA MORÓN (respuestas).xlsx;19/02/2025 11:52;;Baloo;Pequeña;Otros *;Veterinario ;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE20- LAURA BARRERA MORÓN (respuestas).xlsx;19/02/2025 13:49;;Calzados Roma;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Poco;No
SE20- LAURA BARRERA MORÓN (respuestas).xlsx;20/02/2025 11:21;;Carnicería Antonio;Micro;Comercio;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE20- LAURA BARRERA MORÓN (respuestas).xlsx;20/02/2025 14:39;;Wow smash burger ;Pequeña;Hostelería;;Otro *;Camareros;Ninguno;Competencia salarial;;Aproximadamente la mitad;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 10:50;;Bazar china;Mediana;Comercio;;Comerciales;;1-5;Falta de experiencia;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 11:23;;Panadería andaluza ;Micro;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 11:49;;Frutería tata ines;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 14:03;;El jamón ;Grande;Comercio;;Comerciales;;1-5;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;Sí
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 14:34;;Herboristería la tisiana;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;18/02/2025 14:40;;Modas Enrique y Manolo;Pequeña;Comercio;;Comerciales;;1-5;Competencia salarial;;Una minoría;Nada;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 11:54;;Bazar Elim;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial, Falta de experiencia;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:02;;;Pequeña;Comercio;Mercería ;Comerciales;Bordado y costuras;1-5;Otras *;Ninguna ;Una minoría;En cierta medida;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:08;;Afrolatino  ;Pequeña;Comercio;Comercio ;Comerciales;;Ninguno;Otras *;Espacio ;Casi todos;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:22;;Casa barril;Micro;Hostelería;;Comerciales;;Ninguno;Competencia salarial;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:36;;La Parra ;Pequeña;Comercio;;Comerciales;;Ninguno;;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:43;;Horno  los hermano;Pequeña;Hostelería;;Comerciales;;1-5;Competencia salarial, Falta de experiencia;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:53;;AL ATLAS;Pequeña;Hostelería;;Comerciales;;1-5;Competencia salarial;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 12:57;;;Grande;Hostelería;;Comerciales;;1-5;Falta de experiencia;;Casi todos;Poco;Sí
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;19/02/2025 13:01;;Cream y Co ;Grande;Hostelería;;Comerciales;;1-5;Falta de experiencia;;La mayoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 10:46;;Reciclaje j.r .g;Pequeña;;Industria;Comerciales;;1-5;Falta de experiencia;;Una minoría;En gran medida;Sí
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 10:53;;Polvero luna;Pequeña;;Construcción ;;Albañiles;Ninguno;Falta de candidatos cualificados;;La mayoría;Poco;Sí
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 11:25;;Vissuto;Mediana;Comercio;;Comerciales;;Ninguno;Otras *;;Una minoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 11:37;;Maison y style;Mediana;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 11:44;;Abacería carbón ;Pequeña;Hostelería;;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 11:53;;Estilisima Moda;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;La mayoría;En cierta medida;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 12:06;;Moviulity;Grande;Servicios;;Técnicos;;1-5;Falta de candidatos cualificados;;Casi todos;En cierta medida;No
SE21- LUISA BLANCO ALMAGRO (respuestas).xlsx;20/02/2025 12:11;;Vendedores de prensa ;Mediana;Comercio;;;Repartidor ;Ninguno;;Falta de producción ;La mayoría;Poco;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 9:51;;Droguería Imagen;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Poco;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 10:02;;ToroToro;Mediana;Comercio;;Comerciales;;1-5;Otras *;;La mayoría;Poco;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 10:17;;Kalzados Juan;Pequeña;Comercio;;Comerciales;;1-5;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;Sí
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 10:20;;Bazar Alimentación Yifan Feng;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;;Casi todos;Poco;Sí
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 10:43;;;Grande;Comercio;;Comerciales;;6-10;Falta de experiencia;;La mayoría;En cierta medida;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 10:45;;Vans;Grande;Comercio;;Comerciales;;6-10;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 11:06;;Intimissimi Uomo;Grande;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;Casi todos;En cierta medida;Sí
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 11:11;;Carrefour Expres;Grande;Comercio;;Comerciales;;6-10;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 11:32;;Haagen Dazs;Grande;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 12:04;;Herbolario Zaragoza ;Pequeña;Salud;;Comerciales;;Ninguno;Otras *;;La mayoría;Poco;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 12:22;;;Grande;Comercio;;Comerciales;;1-5;Otras *;;La mayoría;Nada;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 12:24;;Sunglasshut;Grande;Comercio;;Comerciales;;1-5;Otras *;;Casi todos;Nada;No
SE22- ADRIÁN SÁNCHEZ RETORTILLO (respuestas).xlsx;18/02/2025 12:43;;Ferretería Manuel;Pequeña;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;Casi todos;Poco;No
